	year	month	ymonth	content_revert	content_revert	non_content_edit	non_content_edit
				sum	mean	sum	mean
140	2022	6	2022-06	2178	73	2110	70
141	2022	7	2022-07	1565	50	1472	47
142	2022	8	2022-08	2016	65	1951	63
143	2022	9	2022-09	6262	209	6208	207
144	2022	10	2022-10	5914	191	5856	189
145	2022	11	2022-11	7152	238	7072	236
146	2022	12	2022-12	5584	180	5505	178
147	2023	1	2023-01	5272	170	5192	167
148	2023	2	2023-02	6514	233	6461	231
149	2023	3	2023-03	6049	195	5970	193
150	2023	4	2023-04	6055	209	6000	207
151	2023	5	2023-05	4834	156	4779	154
152	2023	6	2023-06	6042	201	5947	198
