wiki_db	user_type	edit_bucket	bot	reverted_bot_reverts	bot_reverts_by_base_editor	year	month	day
eswiki	registered	500+	SeroBOT	1	1	2022	8	30
eswiki	registered	100-499	SeroBOT	6	5	2023	4	19
enwiki	registered	0-99	ClueBot NG	1	1	2022	8	23
frwiki	anonymous	n/a	Salebot	5	4	2022	3	18
simplewiki	anonymous	n/a	ChenzwBot	2	1	2022	6	3
frwiki	registered	0-99	Salebot	1	0	2021	4	30
eswiki	registered	100-499	SeroBOT	1	1	2021	2	5
simplewiki	anonymous	n/a	ChenzwBot	1	0	2020	8	3
eswiki	anonymous	n/a	SeroBOT	196	171	2022	11	1
enwiki	anonymous	n/a	ClueBot NG	33	16	2021	4	26
eswiki	anonymous	n/a	SeroBOT	86	46	2021	6	16
enwiki	registered	0-99	ClueBot NG	2	1	2022	3	24
eswiki	anonymous	n/a	SeroBOT	69	36	2020	9	28
fawiki	anonymous	n/a	Dexbot	36	15	2023	6	21
enwiki	anonymous	n/a	ClueBot NG	36	10	2022	2	17
eswiki	registered	0-99	SeroBOT	6	3	2022	6	15
eswiki	registered	0-99	SeroBOT	9	4	2021	5	17
enwiki	anonymous	n/a	ClueBot NG	33	6	2021	2	15
frwiki	registered	0-99	Salebot	2	2	2021	6	26
fawiki	anonymous	n/a	Dexbot	27	2	2022	9	9
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2021	5	16
enwiki	registered	0-99	ClueBot NG	19	6	2021	6	1
frwiki	anonymous	n/a	Salebot	1	0	2022	12	27
enwiki	registered	0-99	ClueBot NG	4	3	2022	9	7
enwiki	registered	0-99	ClueBot NG	18	7	2022	2	16
eswiki	registered	0-99	SeroBOT	7	3	2021	10	20
enwiki	registered	0-99	ClueBot NG	18	7	2021	1	10
eswiki	registered	0-99	SeroBOT	3	1	2021	11	20
eswiki	registered	500+	SeroBOT	2	1	2021	10	7
simplewiki	registered	0-99	ChenzwBot	1	1	2022	10	3
simplewiki	registered	0-99	ChenzwBot	1	0	2021	1	12
