wiki_db	user_type	edit_bucket	bot	reverted_bot_reverts	bot_reverts_by_base_editor	year	month	day
rowiki	anonymous	n/a	PatrocleBot	3	1	2022	12	2
simplewiki	anonymous	n/a	ChenzwBot	2	1	2021	2	7
ruwiki	anonymous	n/a	Рейму Хакурей	9	2	2021	6	25
enwiki	registered	0-99	ClueBot NG	16	8	2021	7	4
ruwiki	anonymous	n/a	Рейму Хакурей	8	1	2021	12	27
ruwiki	anonymous	n/a	Рейму Хакурей	11	7	2021	7	12
simplewiki	anonymous	n/a	ChenzwBot	1	0	2023	3	7
eswiki	registered	100-499	SeroBOT	1	1	2023	4	16
ruwiki	anonymous	n/a	Рейму Хакурей	10	4	2021	7	21
eswiki	registered	100-499	SeroBOT	1	1	2021	9	10
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	8	9
frwiki	registered	0-99	Salebot	3	2	2022	1	6
eswiki	registered	n/a	SeroBOT	1	0	2021	9	22
frwiki	registered	0-99	Salebot	1	1	2023	6	24
eswiki	registered	0-99	SeroBOT	3	2	2023	3	2
eswiki	registered	100-499	SeroBOT	1	0	2022	3	26
simplewiki	anonymous	n/a	ChenzwBot	1	0	2021	9	4
eswiki	registered	500+	SeroBOT	1	0	2023	1	1
fawiki	anonymous	n/a	Dexbot	24	7	2023	1	2
enwiki	anonymous	n/a	ClueBot NG	97	82	2021	11	25
eswiki	registered	0-99	SeroBOT	12	4	2022	3	31
eswiki	anonymous	n/a	SeroBOT	120	66	2020	12	1
fawiki	anonymous	n/a	Dexbot	24	10	2023	1	29
frwiki	anonymous	n/a	Salebot	2	1	2020	8	13
eswiki	anonymous	n/a	SeroBOT	93	61	2021	1	17
enwiki	anonymous	n/a	ClueBot NG	42	20	2021	6	7
eswiki	anonymous	n/a	SeroBOT	82	37	2021	5	18
fawiki	anonymous	n/a	Dexbot	31	9	2023	5	18
fawiki	anonymous	n/a	Dexbot	20	5	2022	8	31
enwiki	anonymous	n/a	ClueBot NG	20	8	2021	11	9
enwiki	registered	0-99	ClueBot NG	13	7	2020	11	13
enwiki	anonymous	n/a	ClueBot NG	24	8	2021	11	24
enwiki	anonymous	n/a	ClueBot NG	52	20	2021	3	15
ruwiki	anonymous	n/a	Рейму Хакурей	12	2	2022	1	1
ruwiki	anonymous	n/a	Рейму Хакурей	3	1	2023	6	11
eswiki	registered	0-99	SeroBOT	1	0	2022	1	26
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2021	6	23
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	2	5
frwiki	registered	0-99	Salebot	1	0	2021	7	2
ruwiki	anonymous	n/a	Рейму Хакурей	6	1	2021	11	23
eswiki	registered	0-99	SeroBOT	11	8	2021	5	20
frwiki	anonymous	n/a	Salebot	6	6	2022	8	19
enwiki	anonymous	n/a	ClueBot NG	7	2	2022	5	26
frwiki	registered	0-99	Salebot	2	1	2021	10	20
ruwiki	anonymous	n/a	Рейму Хакурей	6	0	2021	1	26
frwiki	registered	0-99	Salebot	1	1	2021	12	4
eswiki	registered	500+	SeroBOT	1	1	2021	4	24
simplewiki	anonymous	n/a	ChenzwBot	1	0	2020	9	16
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	2	15
eswiki	registered	0-99	SeroBOT	3	1	2022	8	28
eswiki	anonymous	n/a	SeroBOT	121	70	2021	3	10
enwiki	anonymous	n/a	ClueBot NG	39	10	2020	8	3
enwiki	anonymous	n/a	ClueBot NG	10	4	2023	4	9
enwiki	registered	0-99	ClueBot NG	11	3	2020	8	9
eswiki	anonymous	n/a	SeroBOT	81	35	2021	4	19
fawiki	registered	500+	Dexbot	8	7	2021	10	1
eswiki	anonymous	n/a	SeroBOT	79	55	2022	10	22
enwiki	anonymous	n/a	ClueBot NG	35	9	2020	11	1
eswiki	anonymous	n/a	SeroBOT	45	24	2022	1	29
